"label,""tweet"""
"positive,""Beli dear butter only 0 rupiah from #Travelokaeats thank chuuuu ????????"""
"positive,""Super deals by @traveloka and they have a lot of coupons to be used for! Thank you, Traveloka! Tinggal menunggu makanan dan ayo kita review nanti. ???????? #travelokaeats"""
"negative,""rip traveloka eats"""
"negative,""harga shopeefood, grabfood, gofood, dan traveloka eats, udah mulai ga bersahabat ??"""
"negative,""Traveloka eats diskonnya dikit doang sekarang ??????"""
"negative,""Traveloka eats paling sadis bakar uangnya tapi cuma bentar banget, sekarang udah masa balik modal yaudah gamau order lagi, nunggu aplikasi baru yang bakar uang lagi aja??"""
"negative,""Travelokaeats dan shopeefood udah kembali ke normal tanpa promo2. Dahlah, bikin kopi sachetan aja ??"""
"negative,""Pada ngerasa gak sih sekarang gofood, grabfood sama traveloka eats hampir gak ada promo sama sekali sekalipun ada potongannya dikit bgt? ??"""
"negative,""Harga ongkir ojol food termahal jatuh kpd @traveloka eats, auto gajadi order ?? pdhl jarak cuma 0,3km zz..zzz"""
"negative,""@traveloka ni traveloka gada diskon buat pengguna baru traveloka eats apa ya"""
"negative,""Ini traveloka eats diskonnya makin kecil ya"""
"negative,""kurang traveloka eats"""
"negative,""Kemarin2 enak pake pesen makanan pake traveloka eats disc 50% skrng hilang diskonnya berasa mahal makanan2"""
"positive,""hidup traveloka eats"""
"negative,""@traveloka min, tolongin dong. Mau jajan di eats, udah masukin kode verifikasi tapi tetep keluar gini terus"""
"negative,""sumpah skg grabfood shopeefood traveloka eats mahal bgt gada promo2. cpekk bgt mau jajann tp mahal"""
"positive,""Traveloka eats delivery mayan juga ya diskonannya, ketimbang GoFood lagi engga ada diskon :))"""
"negative,""@traveloka traveloka eats kebiasaan nih kalo udah banyak yg pake diskonnya jadi kecil"""
"negative,""traveloka eats ongkirnya diluar nalar"""
"negative,""Traveloka eats promonya dah ga kek dulu </3"""
"negative,""Knp ya traveloka eats gua gabisa dibuka terus"""
"negative,""Diskon Traveloka Eats mulai tipis2. Ya udah, back to nunggu nasgor lewat aja deh."""
"negative,""sekarang jajan ditraveloka eats mahal diskon cuma 10% doang promo lainnya ga ada, tolong dong kebijakannya @traveloka"""
"positive,""30rb masih dibantu promo gofood atau traveloka eats"""
"negative,""Saya salah satunya yg meninggalkan traveloka eats, terlalu ???manjain??? cust diawal (skrg jd kaget) dan pilihan merchant yg masih terbatas bikin mau gak mau balik lagi ke ijo ijo"""
"negative,""Lalu di charge lg dengan biaya di atas. Gak manusiawi sih. Etapi klw traveloka eats itu dy ngambil komisi gak banyak, aku udh survey. Harganya mirip ama yg di resto. Tp ya merchant masih blm trlalu banyak jd pilihan cm dikit."""
