index,count word,label,tweet;
1,11,positive,Beli dear butter only 0 rupiah from #Travelokaeats thank chuuuu ðŸ˜˜;
"2,28,positive,""Super deals by @traveloka and they have a lot of coupons to be used for! Thank you, Traveloka! Tinggal menunggu makanan dan ayo kita review nanti. ðŸ˜Š #travelokaeats""";
3,3,negative,rip traveloka eats;
"4,12,negative,""harga shopeefood, grabfood, gofood, dan traveloka eats, udah mulai ga bersahabat ??""";
5,7,negative,Traveloka eats diskonnya dikit doang sekarang ??????;
"6,27,negative,""Traveloka eats paling sadis bakar uangnya tapi cuma bentar banget, sekarang udah masa balik modal yaudah gamau order lagi, nunggu aplikasi baru yang bakar uang lagi aja??""";
"7,15,negative,""Travelokaeats dan shopeefood udah kembali ke normal tanpa promo2. Dahlah, bikin kopi sachetan aja ??""";
"8,22,negative,""Pada ngerasa gak sih sekarang gofood, grabfood sama traveloka eats hampir gak ada promo sama sekali sekalipun ada potongannya dikit bgt? ??""";
"9,18,negative,""Harga ongkir ojol food termahal jatuh kpd @traveloka eats, auto gajadi order ?? pdhl jarak cuma 0,3km zz..zzz""";
10,12,negative,@traveloka ni traveloka gada diskon buat pengguna baru traveloka eats apa ya;
11,7,negative,Ini traveloka eats diskonnya makin kecil ya;
12,3,negative,kurang traveloka eats;
13,16,negative,Kemarin2 enak pake pesen makanan pake traveloka eats disc 50% skrng hilang diskonnya berasa mahal makanan2;
14,3,positive,hidup traveloka eats;
"15,17,negative,""@traveloka min, tolongin dong. Mau jajan di eats, udah masukin kode verifikasi tapi tetep keluar gini terus""";
16,16,negative,sumpah skg grabfood shopeefood traveloka eats mahal bgt gada promo2. cpekk bgt mau jajann tp mahal;
"17,14,positive,""Traveloka eats delivery mayan juga ya diskonannya, ketimbang GoFood lagi engga ada diskon :))""";
18,13,negative,@traveloka traveloka eats kebiasaan nih kalo udah banyak yg pake diskonnya jadi kecil;
19,5,negative,traveloka eats ongkirnya diluar nalar;
20,8,negative,Traveloka eats promonya dah ga kek dulu </3;
21,8,negative,Knp ya traveloka eats gua gabisa dibuka terus;
"22,14,negative,""Diskon Traveloka Eats mulai tipis2. Ya udah, back to nunggu nasgor lewat aja deh.""";
"23,17,negative,""sekarang jajan ditraveloka eats mahal diskon cuma 10% doang promo lainnya ga ada, tolong dong kebijakannya @traveloka""";
24,8,positive,30rb masih dibantu promo gofood atau traveloka eats;
"25,29,negative,""Saya salah satunya yg meninggalkan traveloka eats, terlalu “manjain” cust diawal (skrg jd kaget) dan pilihan merchant yg masih terbatas bikin mau gak mau balik lagi ke ijo ijo""";
"26,41,negative,""Lalu di charge lg dengan biaya di atas. Gak manusiawi sih. Etapi klw traveloka eats itu dy ngambil komisi gak banyak, aku udh survey. Harganya mirip ama yg di resto. Tp ya merchant masih blm trlalu banyak jd pilihan cm dikit.""";
"27,13,positive,""Gunakan semua voucher yg ada, kalo di jakarta pake traveloka eats, diskonnya edan.""";
28,6,negative,Traveloka eats ongkirnya mahal min ????????;
"29,26,negative,""setelah ditolak shopee 2x, grab juga ga dpt trs driver, akhirnya bs pake traveloka eats, meskipun udhga promo kek dlu tp yaudahlah udah lapar brutal ??????""";
